id,ouvrage_id,unite_id,prix_unitaire,cree_le,mis_a_jour_le,_synced,metier_id,entreprise_id,nom
d845ba1b-711a-416c-83d3-17191efcb16a,d845ba1b-711a-416c-83d3-17191efcb16a,61baec7f-f87c-4854-8580-36fa0b0b56f1,12500,2026-05-30 20:54:55.371+00,2026-06-02 10:55:39.838+00,1,5492a224-c4ef-49b4-a92c-4fbc2aff565e,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Carreaux 60x60
bdc62f09-7c8b-4502-8dd5-3fa60f944674,bdc62f09-7c8b-4502-8dd5-3fa60f944674,61baec7f-f87c-4854-8580-36fa0b0b56f1,9000,2026-05-30 20:57:15.282+00,2026-06-02 10:55:45.8+00,1,5492a224-c4ef-49b4-a92c-4fbc2aff565e,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Carreaux 30x30
1108c960-b576-4981-86dd-b4a1926c44ab,1108c960-b576-4981-86dd-b4a1926c44ab,61baec7f-f87c-4854-8580-36fa0b0b56f1,85000,2026-05-30 21:05:53.884+00,2026-05-30 21:05:53.884+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Alucobond
1108c960-b576-4981-86dd-b4a1926c44ab,1108c960-b576-4981-86dd-b4a1926c44ab,5d4b36c7-f793-4457-8aca-722e852080f7,85000,2026-05-30 21:05:53.884+00,2026-05-30 21:05:53.884+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Alucobond
21f49b83-7054-485e-ac88-7e2d0d2bdcf9,21f49b83-7054-485e-ac88-7e2d0d2bdcf9,61baec7f-f87c-4854-8580-36fa0b0b56f1,9000,2026-05-31 15:52:48.751+00,2026-05-31 15:52:48.751+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Antelio 4mm
21f49b83-7054-485e-ac88-7e2d0d2bdcf9,21f49b83-7054-485e-ac88-7e2d0d2bdcf9,5d4b36c7-f793-4457-8aca-722e852080f7,9000,2026-05-31 15:52:48.751+00,2026-05-31 15:52:48.751+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Antelio 4mm
5b345745-58d1-4d55-8ebe-77a5077935b9,5b345745-58d1-4d55-8ebe-77a5077935b9,61baec7f-f87c-4854-8580-36fa0b0b56f1,12000,2026-05-31 15:53:19.321+00,2026-05-31 15:53:19.321+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Imprimé 5mm
5b345745-58d1-4d55-8ebe-77a5077935b9,5b345745-58d1-4d55-8ebe-77a5077935b9,5d4b36c7-f793-4457-8aca-722e852080f7,12000,2026-05-31 15:53:19.321+00,2026-05-31 15:53:19.321+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Imprimé 5mm
2b2a496a-fec1-4942-bbac-e8e3f1f84e7b,2b2a496a-fec1-4942-bbac-e8e3f1f84e7b,61baec7f-f87c-4854-8580-36fa0b0b56f1,85000,2026-06-02 10:54:01.495+00,2026-06-02 10:54:01.495+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Ensemble
514f257e-f045-479e-b52d-2e0adbc8eddf,514f257e-f045-479e-b52d-2e0adbc8eddf,292a02a7-7813-46cc-bcfa-55a91a07fdd5,65000,2026-06-02 10:56:52.531+00,2026-06-02 10:56:52.531+00,1,431cdc2b-4cc1-4eaa-be25-37127bd9dbd7,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Escalier industriel
37dc933f-beb4-48c7-8515-b316f57d03d1,37dc933f-beb4-48c7-8515-b316f57d03d1,292a02a7-7813-46cc-bcfa-55a91a07fdd5,115000,2026-06-02 10:57:17.981+00,2026-06-02 10:57:17.981+00,1,431cdc2b-4cc1-4eaa-be25-37127bd9dbd7,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Escalier vitré
e87c9968-29e9-44e8-be7f-4005d74008ab,e87c9968-29e9-44e8-be7f-4005d74008ab,292a02a7-7813-46cc-bcfa-55a91a07fdd5,65000,2026-06-02 10:57:33.208+00,2026-06-02 10:57:33.208+00,1,431cdc2b-4cc1-4eaa-be25-37127bd9dbd7,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Balcon industriel
355b5063-29f2-4b97-989f-58e1a497beb5,355b5063-29f2-4b97-989f-58e1a497beb5,292a02a7-7813-46cc-bcfa-55a91a07fdd5,115000,2026-06-02 10:57:46.235+00,2026-06-02 10:57:46.235+00,1,431cdc2b-4cc1-4eaa-be25-37127bd9dbd7,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Balcon vitré
4d27c1b1-ecc3-4705-9436-0081e1cd6fd8,4d27c1b1-ecc3-4705-9436-0081e1cd6fd8,292a02a7-7813-46cc-bcfa-55a91a07fdd5,25000,2026-06-02 10:58:00.878+00,2026-06-02 11:10:53.98+00,1,5deeccf7-7569-45a0-9447-cd89d7bb28a3,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Main courante
72df3fc1-cda0-4d1b-9b7d-c544aef88825,72df3fc1-cda0-4d1b-9b7d-c544aef88825,5d4b36c7-f793-4457-8aca-722e852080f7,1500,2026-06-02 10:58:51.431+00,2026-06-02 10:58:51.431+00,1,976e9e3e-a669-4c73-9e7f-45618b0ae2b5,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Peinture fom
ac48ffc5-e579-44eb-bbe3-c8733d16c3e2,ac48ffc5-e579-44eb-bbe3-c8733d16c3e2,5d4b36c7-f793-4457-8aca-722e852080f7,2000,2026-06-02 10:59:04.108+00,2026-06-02 10:59:04.108+00,1,976e9e3e-a669-4c73-9e7f-45618b0ae2b5,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Peinture satin
69a1f80b-e95b-4503-a3dc-fef40ae552df,69a1f80b-e95b-4503-a3dc-fef40ae552df,5d4b36c7-f793-4457-8aca-722e852080f7,1850,2026-06-02 11:15:09.264+00,2026-06-02 11:15:09.264+00,1,976e9e3e-a669-4c73-9e7f-45618b0ae2b5,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Enduit
056fe595-4515-4f1d-9a53-b8db8ea0ada1,056fe595-4515-4f1d-9a53-b8db8ea0ada1,5d4b36c7-f793-4457-8aca-722e852080f7,21000,2026-06-05 22:16:19.816+00,2026-06-05 22:16:19.816+00,1,5492a224-c4ef-49b4-a92c-4fbc2aff565e,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Carreaux 120x120
109b8e5d-82e3-4045-884e-077d6fccbd3e,109b8e5d-82e3-4045-884e-077d6fccbd3e,292a02a7-7813-46cc-bcfa-55a91a07fdd5,35000,2026-06-05 22:17:04.83+00,2026-06-05 22:17:04.83+00,1,431cdc2b-4cc1-4eaa-be25-37127bd9dbd7,5b6aeb06-6bd0-40e8-859d-9eb1b0f14713,Main courante
